"year","area","htot"
1993,"SnohettaW",30
1994,"SnohettaW",61
1995,"SnohettaW",66
1996,"SnohettaW",81
1997,"SnohettaW",70
1998,"SnohettaW",83
1999,"SnohettaW",96
2000,"SnohettaW",197
2001,"SnohettaW",195
2002,"SnohettaW",197
2003,"SnohettaW",190
2004,"SnohettaW",157
2005,"SnohettaW",177
2006,"SnohettaW",39
2007,"SnohettaW",22
2008,"SnohettaW",37
2009,"SnohettaW",44
2010,"SnohettaW",82
2011,"SnohettaW",79
2012,"SnohettaW",53
2013,"SnohettaW",83
2014,"SnohettaW",88
2015,"SnohettaW",91
2016,"SnohettaW",103
2017,"SnohettaW",95
2018,"SnohettaW",170
2019,"SnohettaW",151
2020,"SnohettaW",184
2021,"SnohettaW",110
2022,"SnohettaW",37
2023,"SnohettaW",21
2024,"SnohettaW",0
1991,"SnohettaE",351
1992,"SnohettaE",385
1993,"SnohettaE",383
1994,"SnohettaE",468
1995,"SnohettaE",451
1996,"SnohettaE",476
1997,"SnohettaE",449
1998,"SnohettaE",428
1999,"SnohettaE",478
2000,"SnohettaE",344
2001,"SnohettaE",326
2002,"SnohettaE",312
2003,"SnohettaE",0
2004,"SnohettaE",215
2005,"SnohettaE",392
2006,"SnohettaE",512
2007,"SnohettaE",320
2008,"SnohettaE",356
2009,"SnohettaE",339
2010,"SnohettaE",417
2011,"SnohettaE",335
2012,"SnohettaE",376
2013,"SnohettaE",609
2014,"SnohettaE",764
2015,"SnohettaE",683
2016,"SnohettaE",543
2017,"SnohettaE",525
2018,"SnohettaE",436
2019,"SnohettaE",438
2020,"SnohettaE",534
2021,"SnohettaE",491
2022,"SnohettaE",339
2023,"SnohettaE",206
2024,"SnohettaE",188
1991,"LardalArdal",0
1992,"LardalArdal",0
1993,"LardalArdal",0
1994,"LardalArdal",0
1995,"LardalArdal",0
1996,"LardalArdal",0
1997,"LardalArdal",0
1998,"LardalArdal",0
1999,"LardalArdal",0
2000,"LardalArdal",0
2001,"LardalArdal",0
2002,"LardalArdal",11
2003,"LardalArdal",9
2004,"LardalArdal",17
2005,"LardalArdal",26
2006,"LardalArdal",47
2007,"LardalArdal",33
2008,"LardalArdal",56
2009,"LardalArdal",36
2010,"LardalArdal",57
2011,"LardalArdal",45
2012,"LardalArdal",48
2013,"LardalArdal",48
2014,"LardalArdal",52
2015,"LardalArdal",34
2016,"LardalArdal",0
2017,"LardalArdal",0
2018,"LardalArdal",11
2019,"LardalArdal",9
2020,"LardalArdal",14
2021,"LardalArdal",0
2022,"LardalArdal",17
2023,"LardalArdal",17
2024,"LardalArdal",13
